val1, val2, val3, difficulty, topic, explanation
Carnivore,Herbivore,Omnivore,basic,science,These terms classify animals according to the food sources they consume.
Root,Stem,Leaf,basic,science,These plant structures support growth and transport materials.
Solid,Liquid,Gas,basic,science,These are the most common states in which matter exists.
Evaporation,Condensation,Precipitation,basic,science,These processes move water through the natural water cycle.
Mammal,Reptile,Amphibian,basic,science,These groups classify vertebrate animals by shared traits.
Mercury,Venus,Earth,basic,science,These planets orbit close to the Sun in our solar system.
Force,Motion,Energy,basic,science,These concepts describe how objects move and interact.
Magnet,Compass,Polarity,basic,science,These terms are related to magnetic fields and direction.
Atom,Element,Compound,basic,science,These concepts describe the building blocks of matter.
Heart,Lungs,Brain,basic,science,These organs perform essential functions in the human body.
Stoichiometry,Titration,Molarity,advanced,science,These concepts are used to measure quantities in chemical reactions.
Entropy,Enthalpy,Gibbs,advanced,science,These quantities help explain energy changes in thermodynamics.
Genotype,Phenotype,Mutation,advanced,science,These terms describe inheritance and biological variation.
Quasar,Pulsar,Nebula,advanced,science,These astronomical objects help scientists study the universe.
Subduction,Orogeny,Rifting,advanced,science,These geological processes shape Earth's crust over time.
Catalyst,Inhibitor,Reactant,advanced,science,These substances influence the rate and outcome of reactions.
Anode,Cathode,Electrolyte,advanced,science,These components are essential in electrochemical cells.
Taxonomy,Phylogeny,Cladistics,advanced,science,These methods are used to classify and study organisms.
Refraction,Diffraction,Interference,advanced,science,These wave behaviors help explain the properties of light.
Axon,Dendrite,Synapse,advanced,science,These structures enable communication within the nervous system.
Addition,Subtraction,Multiplication,basic,mathematics,These arithmetic operations are used in everyday calculations.
Fraction,Decimal,Percentage,basic,mathematics,These formats represent numerical quantities in different ways.
Triangle,Square,Circle,basic,mathematics,These are common geometric shapes.
Mean,Median,Mode,basic,mathematics,These measures describe the center of a data set.
Parallel,Perpendicular,Intersecting,basic,mathematics,These terms describe relationships between lines.
Length,Area,Volume,basic,mathematics,These measurements describe size in one two and three dimensions.
Acute,Right,Obtuse,basic,mathematics,These categories classify angles by their size.
Even,Odd,Prime,basic,mathematics,These are different types of whole numbers.
Vertex,Edge,Face,basic,mathematics,These parts make up three-dimensional solids.
Ratio,Rate,Scale,basic,mathematics,These concepts compare quantities in useful ways.
Calculus,Derivative,Integral,advanced,mathematics,These concepts form the foundation of higher mathematical analysis.
Eigenvalue,Eigenvector,Diagonalization,advanced,mathematics,These ideas are important in linear algebra and transformations.
Permutation,Combination,Probability,advanced,mathematics,These topics are used to analyze counting and uncertainty.
Parabola,Ellipse,Hyperbola,advanced,mathematics,These curves belong to the family of conic sections.
Gradient,Divergence,Curl,advanced,mathematics,These operators are used in vector calculus.
Topology,Manifold,Homeomorphism,advanced,mathematics,These concepts study properties preserved under deformation.
Congruence,Residue,Modulus,advanced,mathematics,These ideas are fundamental in number theory.
Asymptote,Continuity,Limit,advanced,mathematics,These concepts help describe the behavior of functions.
Variance,Skewness,Kurtosis,advanced,mathematics,These measures describe the distribution of data.
Recursion,Induction,Iteration,advanced,mathematics,These methods are used to define and solve problems.
Profit,Revenue,Expense,basic,commerce,These terms are used to measure business performance.
Buyer,Seller,Market,basic,commerce,These participants interact during trade and exchange.
Cash,Credit,Debit,basic,commerce,These methods are commonly used to make payments.
Budget,Saving,Spending,basic,commerce,These activities help people manage their finances.
Demand,Supply,Price,basic,commerce,These forces influence how markets operate.
Equity,Liability,Asset,advanced,commerce,These accounting terms describe financial position and ownership.
Inflation,Deflation,Stagflation,advanced,commerce,These economic conditions affect prices and growth.
Dividend,Bond,Share,advanced,commerce,These instruments are commonly used in investment markets.
Hedging,Arbitrage,Speculation,advanced,commerce,These strategies are used by participants in financial markets.
Monopoly,Oligopoly,Duopoly,advanced,commerce,These structures describe different levels of market competition.
Copper,Silver,Gold,basic,science,These metallic elements have been used by humans for thousands of years.
Lens,Mirror,Prism,basic,science,These optical objects affect the path and behavior of light.
Coral,Kelp,Plankton,basic,science,These organisms are important parts of aquatic ecosystems.
Rock,Soil,Sand,basic,science,These materials are commonly found on Earth's surface.
Heat,Light,Sound,basic,science,These are common forms of energy encountered every day.
Push,Pull,Friction,basic,science,These forces influence the movement of objects.
Battery,Switch,Bulb,basic,science,These components are commonly found in simple electrical circuits.
Artery,Vein,Capillary,basic,science,These blood vessels transport blood throughout the body.
Oak,Pine,Maple,basic,science,These trees are found in forests around the world.
Desert,Forest,Tundra,basic,science,These biomes differ greatly in climate and biodiversity.
Iron,Nickel,Cobalt,basic,science,These metals are known for their magnetic properties.
Comet,Asteroid,Meteor,basic,science,These objects travel through space within our solar system.
Rain,Snow,Hail,basic,science,These forms of precipitation fall from clouds under different conditions.
Skeleton,Muscle,Tendon,basic,science,These structures help support and move the body.
Bee,Butterfly,Dragonfly,basic,science,These insects play important ecological roles.
Granite,Marble,Slate,basic,science,These rocks are commonly used in construction and design.
Volcano,Glacier,Canyon,basic,science,These natural features shape Earth's landscape.
Tooth,Nail,Hair,basic,science,These body structures are made primarily of keratin or minerals.
Isotope,Nuclide,Radioactivity,advanced,science,These concepts are important in nuclear chemistry and physics.
Alkane,Alkene,Alkyne,advanced,science,These hydrocarbon families differ in their bonding structures.
Mitosis,Meiosis,Cytokinesis,advanced,science,These processes are involved in cellular reproduction.
Oxidation,Reduction,Passivation,advanced,science,These chemical processes involve electron transfer and reactions.
Capacitance,Inductance,Impedance,advanced,science,These quantities describe electrical behavior in circuits.
Lithosphere,Asthenosphere,Mesosphere,advanced,science,These layers make up major parts of Earth's interior.
Allele,Chromosome,Epigenetics,advanced,science,These concepts explain genetic inheritance and regulation.
Resonance,Harmonics,Wavefront,advanced,science,These phenomena describe wave behavior and interactions.
Biome,Ecotone,Succession,advanced,science,These ecological concepts describe habitats and environmental change.
Perihelion,Aphelion,Eccentricity,advanced,science,These terms describe planetary orbits around stars.
Hydrolysis,Esterification,Saponification,advanced,science,These reactions are important in organic chemistry.
Cryosphere,Biosphere,Pedosphere,advanced,science,These Earth systems interact to support life and climate.
